Ticker,Date,Score,Close,SMA20,SMA50,SMA200,RSI,ADX,ATR_Pct,RelVolume,BBWidth,VolatilityRatio,Return5D,Return20D,Return60D,DistHigh20,DistHigh50,AvgDollarVolume,Reasons,Warnings
TRV,2025-09-02,100,269.07,265.01,259.9,252.24,58.7,,,1.19,5.67,0.7,,,,2.08,2.08,315.2,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 14 touches | Close is 0.6% above support,
AZO,2025-09-02,100,4179.84,4095.94,3879.65,3585.83,66.2,,,0.93,7.09,0.62,,,,1.19,1.19,423.85,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 13 touches | Close is 1.9% above support,
F,2025-09-02,100,11.2,10.96,10.75,9.64,59.3,,,1.06,9.9,0.71,,,,2.3,2.3,592.66,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 9 touches | Close is 0.5% above support,
MA,2025-09-02,97,588.2,579.8,565.09,545.35,60.5,,,0.92,7.16,0.84,,,,1.67,1.67,1435.63,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 14 touches | Close is 3.1% above support,
HCA,2025-09-02,96,403.4,391.39,375.13,342.49,66.7,,,0.87,13.75,0.72,,,,1.44,1.44,432.36,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Rising support line with 9 touches | Close is 0.0% above support,
GM,2025-09-02,96,58.0,55.71,53.15,50.01,69.9,,,0.88,15.42,0.48,,,,1.2,1.2,358.27,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Rising support line with 10 touches | Close is 0.3% above support,
RTX,2025-09-02,95,155.7,153.9,149.68,130.14,59.1,,,0.87,5.21,0.75,,,,2.06,2.06,579.66,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 14 touches | Close is 1.0% above support,
WDC,2025-09-02,95,81.69,76.8,70.99,53.19,70.0,,,0.98,13.24,0.8,,,,0.5,0.5,453.07,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 12 touches | Close is 5.9% above support,
BNY,2025-09-02,93,102.91,101.18,96.72,84.68,62.7,,,1.04,6.04,0.98,,,,1.79,1.79,322.07,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Bollinger Bands compressed | Rising support line with 13 touches | Close is 1.1% above support,
GD,2025-09-02,93,318.77,312.32,302.02,271.46,70.7,,,1.0,5.29,0.5,,,,0.5,0.5,274.13,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 14 touches | Close is 0.7% above support,
